/*********************************************
 * OPL 12.8.0.0 Data
 * Author: Tamer Abdelmaguid
 * Input data from a specially developed application
 * for the DMOSP problem.
 * Problem name: C:\Work\MOSP\Program\MOSPInstances\MOSP-6-36-2-3-2-1.mosp.dat
 *********************************************/

 nj = 36;
 nm = 30;
 no = 184;


 // Machines data:
	MW = [ 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4, 4, 5, 5, 5, 5, 5, 5, 6, 6, 6, 6];

 // Operations data:
	OJ = [ 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4, 5, 5, 5, 6, 6, 6, 6, 6, 6, 7, 7, 7, 7, 7, 8, 8, 8, 8, 8, 9, 9, 9, 9, 9, 9, 10, 10, 10, 10, 10, 10, 11, 11, 11, 11, 11, 12, 12, 12, 12, 12, 13, 13, 13, 13, 14, 14, 14, 14, 14, 15, 15, 15, 15, 16, 16, 16, 16, 16, 16, 17, 17, 17, 17, 17, 18, 18, 18, 18, 18, 18, 19, 19, 19, 19, 19, 19, 20, 20, 20, 20, 21, 21, 21, 21, 21, 21, 22, 22, 22, 22, 22, 23, 23, 23, 23, 23, 24, 24, 24, 24, 24, 24, 25, 25, 25, 25, 25, 25, 26, 26, 26, 26, 26, 26, 27, 27, 27, 27, 28, 28, 28, 28, 28, 29, 29, 29, 29, 29, 30, 30, 30, 30, 30, 30, 31, 31, 31, 31, 31, 32, 32, 32, 32, 32, 32, 33, 33, 33, 33, 34, 34, 34, 34, 34, 34, 35, 35, 35, 35, 35, 36, 36, 36, 36, 36];
	OW = [ 1, 2, 3, 5, 6, 1, 3, 4, 5, 6, 1, 2, 3, 5, 1, 3, 4, 5, 1, 4, 6, 1, 2, 3, 4, 5, 6, 1, 2, 4, 5, 6, 1, 2, 3, 4, 5, 1, 2, 3, 4, 5, 6, 1, 2, 3, 4, 5, 6, 1, 2, 3, 4, 6, 1, 2, 3, 4, 6, 1, 3, 4, 5, 2, 3, 4, 5, 6, 2, 3, 4, 6, 1, 2, 3, 4, 5, 6, 1, 2, 4, 5, 6, 1, 2, 3, 4, 5, 6, 1, 2, 3, 4, 5, 6, 1, 2, 3, 5, 1, 2, 3, 4, 5, 6, 1, 2, 3, 4, 5, 1, 2, 3, 5, 6, 1, 2, 3, 4, 5, 6, 1, 2, 3, 4, 5, 6, 1, 2, 3, 4, 5, 6, 1, 3, 4, 5, 2, 3, 4, 5, 6, 1, 3, 4, 5, 6, 1, 2, 3, 4, 5, 6, 1, 3, 4, 5, 6, 1, 2, 3, 4, 5, 6, 2, 3, 4, 6, 1, 2, 3, 4, 5, 6, 1, 2, 3, 5, 6, 1, 2, 3, 4, 5];

 // Ordered processing times:
	d = [
		85.00, 74.00, 71.00, 91.00,
		222.00, 255.00, 259.00, 258.00, 207.00, 236.00,
		312.00, 221.00, 280.00, 293.00, 303.00,
		92.00, 123.00, 95.00, 87.00,
		169.00, 167.00, 200.00, 135.00, 198.00,
		70.00, 101.00, 94.00, 80.00,
		225.00, 249.00, 250.00, 296.00, 265.00, 210.00,
		76.00, 98.00, 76.00, 122.00,
		179.00, 181.00, 179.00, 160.00, 143.00,
		201.00, 166.00, 173.00, 161.00, 218.00, 224.00,
		263.00, 215.00, 235.00, 271.00, 217.00,
		113.00, 121.00, 109.00, 107.00,
		178.00, 184.00, 139.00, 173.00, 189.00,
		203.00, 195.00, 146.00, 212.00, 150.00, 159.00,
		72.00, 101.00, 82.00, 66.00,
		254.00, 235.00, 242.00, 200.00, 233.00,
		115.00, 90.00, 76.00, 78.00,
		126.00, 151.00, 156.00, 186.00, 197.00,
		62.00, 99.00, 80.00, 99.00,
		317.00, 215.00, 319.00, 334.00, 281.00, 323.00,
		312.00, 269.00, 274.00, 265.00, 225.00,
		95.00, 114.00, 116.00, 119.00,
		169.00, 174.00, 137.00, 153.00, 140.00,
		151.00, 174.00, 139.00, 221.00, 158.00, 186.00,
		97.00, 89.00, 94.00, 94.00,
		245.00, 208.00, 270.00, 222.00, 275.00, 259.00,
		213.00, 196.00, 263.00, 203.00, 272.00,
		195.00, 163.00, 178.00, 155.00, 193.00,
		149.00, 147.00, 205.00, 152.00, 157.00, 220.00,
		83.00, 64.00, 97.00, 71.00,
		307.00, 241.00, 313.00, 328.00, 283.00, 212.00,
		300.00, 258.00, 260.00, 315.00, 226.00,
		84.00, 78.00, 90.00, 75.00,
		135.00, 183.00, 196.00, 158.00, 127.00,
		155.00, 165.00, 191.00, 209.00, 167.00, 216.00,
		63.00, 89.00, 65.00, 62.00,
		340.00, 250.00, 290.00, 218.00, 324.00, 266.00,
		238.00, 298.00, 283.00, 213.00, 275.00,
		85.00, 97.00, 78.00, 118.00,
		169.00, 140.00, 131.00, 187.00, 167.00,
		161.00, 184.00, 217.00, 196.00, 184.00, 162.00,
		75.00, 75.00, 67.00, 75.00,
		335.00, 245.00, 322.00, 282.00, 303.00, 298.00,
		218.00, 292.00, 224.00, 267.00, 268.00,
		81.00, 93.00, 96.00, 99.00,
		225.00, 163.00, 222.00, 184.00, 192.00, 138.00,
		227.00, 267.00, 338.00, 332.00, 339.00, 294.00,
		226.00, 283.00, 309.00, 202.00, 285.00,
		78.00, 111.00, 115.00, 101.00,
		132.00, 195.00, 144.00, 158.00, 150.00,
		197.00, 168.00, 215.00, 223.00, 193.00, 141.00,
		101.00, 92.00, 98.00, 80.00,
		230.00, 322.00, 312.00, 218.00, 277.00, 206.00,
		264.00, 283.00, 193.00, 272.00, 207.00,
		84.00, 111.00, 77.00, 96.00,
		193.00, 159.00, 140.00, 125.00, 163.00,
		191.00, 173.00, 220.00, 211.00, 186.00, 202.00,
		206.00, 314.00, 327.00, 269.00, 334.00, 227.00,
		192.00, 244.00, 227.00, 218.00, 207.00,
		97.00, 94.00, 97.00, 117.00,
		165.00, 202.00, 165.00, 198.00, 212.00, 225.00,
		64.00, 99.00, 75.00, 78.00,
		205.00, 235.00, 320.00, 213.00, 211.00, 326.00,
		195.00, 251.00, 193.00, 243.00, 230.00,
		113.00, 120.00, 120.00, 103.00,
		173.00, 163.00, 187.00, 181.00, 128.00,
		207.00, 196.00, 192.00, 216.00, 160.00, 192.00,
		99.00, 72.00, 94.00, 94.00,
		297.00, 271.00, 277.00, 245.00, 219.00, 242.00,
		307.00, 266.00, 268.00, 235.00, 215.00,
		96.00, 120.00, 97.00, 81.00,
		124.00, 145.00, 169.00, 143.00, 140.00,
		218.00, 185.00, 221.00, 201.00, 164.00, 139.00,
		96.00, 74.00, 74.00, 70.00,
		219.00, 215.00, 327.00, 243.00, 333.00, 288.00,
		239.00, 196.00, 275.00, 258.00, 280.00,
		124.00, 102.00, 99.00, 113.00,
		188.00, 136.00, 140.00, 128.00, 150.00,
		203.00, 138.00, 164.00, 196.00, 202.00, 174.00,
		77.00, 68.00, 93.00, 86.00,
		287.00, 245.00, 209.00, 310.00, 266.00, 269.00,
		111.00, 106.00, 122.00, 117.00,
		189.00, 122.00, 173.00, 160.00, 148.00,
		197.00, 203.00, 180.00, 166.00, 175.00, 150.00,
		199.00, 268.00, 197.00, 223.00, 305.00,
		120.00, 82.00, 124.00, 83.00,
		171.00, 124.00, 139.00, 128.00, 144.00,
		165.00, 163.00, 159.00, 141.00, 170.00, 151.00,
		83.00, 84.00, 84.00, 63.00,
		237.00, 277.00, 249.00, 219.00, 233.00, 224.00,
		107.00, 77.00, 102.00, 84.00,
		135.00, 126.00, 195.00, 146.00, 168.00,
		208.00, 214.00, 191.00, 140.00, 215.00, 197.00,
		82.00, 95.00, 66.00, 96.00,
		240.00, 217.00, 263.00, 338.00, 243.00, 265.00,
		229.00, 289.00, 280.00, 304.00, 257.00,
		107.00, 75.00, 100.00, 96.00,
		187.00, 126.00, 179.00, 196.00, 143.00,
		160.00, 157.00, 197.00, 156.00, 213.00, 189.00,
		76.00, 73.00, 96.00, 73.00,
		305.00, 260.00, 327.00, 312.00, 224.00, 211.00,
		119.00, 81.00, 105.00, 95.00,
		189.00, 171.00, 143.00, 144.00, 175.00,
		209.00, 187.00, 197.00, 181.00, 199.00, 187.00,
		101.00, 84.00, 96.00, 82.00,
		307.00, 324.00, 326.00, 248.00, 268.00, 246.00,
		203.00, 275.00, 315.00, 314.00, 237.00,
		80.00, 102.00, 92.00, 118.00,
		199.00, 145.00, 146.00, 158.00, 142.00,
		195.00, 137.00, 216.00, 210.00, 188.00, 199.00,
		94.00, 80.00, 87.00, 63.00,
		199.00, 304.00, 240.00, 226.00, 311.00,
		88.00, 87.00, 87.00, 103.00,
		153.00, 129.00, 181.00, 144.00, 188.00,
		78.00, 72.00, 69.00, 78.00,
		272.00, 209.00, 309.00, 285.00, 300.00, 261.00,
		295.00, 229.00, 205.00, 230.00, 249.00,
		85.00, 102.00, 83.00, 96.00,
		179.00, 171.00, 174.00, 173.00, 135.00,
		145.00, 205.00, 198.00, 140.00, 193.00, 150.00,
		92.00, 93.00, 65.00, 94.00,
		248.00, 302.00, 213.00, 315.00, 266.00, 233.00,
		247.00, 203.00, 204.00, 234.00, 306.00,
		110.00, 85.00, 112.00, 113.00,
		160.00, 224.00, 181.00, 215.00, 138.00, 189.00,
		71.00, 73.00, 96.00, 72.00,
		308.00, 268.00, 215.00, 217.00, 234.00, 278.00,
		245.00, 302.00, 239.00, 243.00, 255.00,
		110.00, 102.00, 105.00, 103.00,
		164.00, 161.00, 140.00, 167.00, 170.00,
		158.00, 225.00, 201.00, 157.00, 195.00, 216.00
	    ];

 bigM = 1000000.00;

/********************************* MOD file *************************************
 int nj = ...;         // number of jobs
 range J = 1..nj;      // set of jobs

 int nm = ...;         // total number of machines
 range M = 1..nm;      // set of all machines in the shop
 int MW[M] = ...;      // workstation # to which machine m belongs

 int no = ...;         // total number of operations
 range O = 1..no;      // set of all operations
 int OJ[O] = ...;      // index of the job to which the operation belongs
 int OW[O] = ...;      // index of the workstation to which the operation belongs

 tuple TOpMc {
   int o;    // operation index
   int m;    // machine index
 };
 setof(TOpMc) Process = { <o, m> | o in O, m in M : OW[o] == MW[m] };
 float d[Process] = ...;         // processing times of operations on machines

 tuple TJOpPair {
   int w;    // index of the first operation
   int q;    // index of the second operation
 };
 setof(TJOpPair) DefX = { <w, q> | w, q in O : OJ[w] == OJ[q] && q > w};
 dvar int x[DefX] in 0..1;

 dvar int y[Process] in 0..1;

 tuple TOpPairMc {
   int j;   // index of the first operation
   int k;   // index of the second operation
   int m;   // machine index
 };
 setof(TOpPairMc) DefZ = { <j, k, m> | j, k in O, m in M : j != k && OW[j] == OW[k] && OW[j] == MW[m]};
 dvar int z[DefZ] in 0..1;

 dvar float+ s[O];
 dvar float+ c[J];
 dvar float Cmax;
 float bigM = ...;

 minimize Cmax;     // (1)

 subject to {
  Constraint1:
   forall(j in J) Cmax >= c[j];           // (2)

  Constraint2:
   forall(j in J)
     forall(o in O : OJ[o] == j)
       c[j] >= s[o] + sum(m in M : OW[o] == MW[m]) d[<o, m>] * y[<o, m>];        // (3)

  Constraint3:
   forall(o in O)
      sum(m in M : OW[o] == MW[m]) y[<o, m>] == 1;          // (4)

  Constraint4:
   forall(j in J)
     forall(w in O : OJ[w] == j)
       forall(r in O : OJ[r] == j && r > w)
         s[r] - s[w] >= sum(m in M : OW[w] == MW[m]) d[<w, m>] * y[<w, m>]
                        - bigM * (1 - x[<w, r>]);                                  // (5)

  Constraint5:
   forall(j in J)
     forall(w in O : OJ[w] == j)
       forall(r in O : OJ[r] == j && q > w)
         s[w] - s[r] >= sum(m in M : OW[r] == MW[m]) d[<r, m>] * y[<r, m>]
                        - bigM * x[<w, r>];                                        // (6)

  Constraint6:
   forall(j in O)
     forall(k in O : j < k)
       forall(m in M : OW[j] == MW[m] && OW[k] == MW[m])
         z[<j, k, m>] + z[<k, j, m>] <= (y[<j, m>] + y[<k, m>]) / 2;              // (7)

  Constraint9:
   forall(j in O)
     forall(k in O : j < k)
       forall(m in M : OW[j] == MW[m] && OW[k] == MW[m])
         z[<j, k, m>] + z[<k, j, m>] >= y[<j, m>] + y[<k, m>] - 1;                // (8)

  Constraint10:
   forall(j in O)
     forall(k in O : j != k && OW[k] == OW[j])
        s[k] - s[j] >= sum(m in M : OW[j] == MW[m]) d[<j, m>] * y[<j, m>]
                       - bigM * (1 - sum(m in M : OW[j] == MW[m]) z[<j, k, m>]);  // (9)
}
 ************************************************************************************/

/*main
{
 thisOplModel.generate();
 cplex.exportModel("C:\Work\DMOSP\Program\CPLEX\lpmodel.lp");
}/**/
